"category","state","company_name","phone","address","city","state.1","postal_code","website","rating","reviews","sent","emailss","email","socials","ceo_name","description","avatar_url","performance_score","crawl_status","country","group","emails","phones","linkedin_url","twitter_url","facebook_url","instagram_url","meta_title","favicon_url","employee_count","founded_year","response_time_ms","crawl_error"
"Oil Change","Memphis TN","Firestone Complete Auto Care","(901) 334-1610","1100 W Poplar Ave","Collierville, TN 38017","TN",38017.0,"https://www.firestonecompleteautocare.com/tennessee/collierville/1100-w-poplar-ave/?lw_cmp=IYP_YPC_MLP_8567","","100 Years","no","","","https://www.facebook.com/FirestoneCompleteAuto, https://x.com/firestoneauto?s=21&t=Xobg2RqkC9cmU_wQ1cUKbw, https://www.instagram.com/firestoneauto, https://www.tiktok.com/@firestoneauto","","Find expert auto care at 1100 W Poplar Ave in Collierville, TN. From tires to repairs, Firestone Complete Auto Care has the services your vehicle needs.","",95,"success","USA","Auto Services","008567@bfrc.com","303.515.7308 303, (901) 414-1936, 515.7308","","https://x.com/firestoneauto?s=21&t=Xobg2RqkC9cmU_wQ1cUKbw","https://www.facebook.com/FirestoneCompleteAuto","https://www.instagram.com/firestoneauto","Tires & Auto Services at 1100 W Poplar Ave in Collierville, TN | Firestone Complete Auto Care","https://www.firestonecompleteautocare.com/etc/designs/bsro/fcac/favicon.ico","",2025.0,740,""
"Towing","Birmingham AL","Mike Towing Inc","(205) 352-9493","","","","","http://yellowpages.com/leeds-al/mip/semi-truck-trailer-towing-recovery-wrecker-truck-repair-shop-526125809","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4224,""
"Towing","Louisville KY","Coffey's Towing & Recovery","(502) 244-0232","4534 Poplar Level Rd","Louisville, KY 40213","KY",40213.0,"http://coffeystowingrecoveryky.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54, 853639969","","","","","Attention Required! | Cloudflare","","","",10103,""
"Remanufactured Engines","Phoenix AZ","A & Z Auto Repair","(602) 272-5770","3433 W Lincoln St","Phoenix, AZ 85009","AZ",85009.0,"https://www.azautorepair.net","","","no","","","https://www.youtube.com/embed/iILHKUGfl_k, https://www.facebook.com/azautorepair.net/, https://www.carfax.com/Reviews-Arizona-Auto-and-Radiator-Repair-Sierra-Vista-AZ_E6YP3OA001","","","https://www.azautorepair.net/custom/IMG_4869sm.jpg",65,"success","USA","Auto Services","","85635 520-459, 520-459-2216","","https://www.carfax.com/Reviews-Arizona-Auto-and-Radiator-Repair-Sierra-Vista-AZ_E6YP3OA001","https://www.facebook.com/azautorepair.net/","","Auto Repair in Sierra Vista, AZ | Arizona Auto & Radiator Repair","https://cdn.repairshopwebsites.com/defaults/images/favicon.ico","",1997.0,5121,""
"Auto Parts","Nashville TN","National Tire & Battery","(615) 731-8473","5201 Hickory Hollow Pkwy","Antioch, TN 37013","TN",37013.0,"http://www.ntb.com","","35 Years","no","","","","","","",40,"success","USA","Auto Services","","","","","","","Just a moment...","","","",10179,""
"Auto Glass Repair","Fort Lauderdale FL","Contemporary Glass & Mirror","(954) 867-8233","2303 W Mcnab Rd","Pompano Beach, FL 33069","FL",33069.0,"http://yellowpages.com/pompano-beach-fl/mip/contemporary-glass-mirror-472797709","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1464,""
"Remanufactured Engines","San Jose CA","A1 Auto Body & Repair","(510) 264-1519","25183 Huntwood Ave","Hayward, CA 94544","CA",94544.0,"https://www.autorepairconnect.com/biz/a1-auto-body-and-repair-hayward-ca-5109438710.html","","26 Years","no","","","","","","",50,"success","USA","Auto Services","","","","","","","autorepairconnect.com","","","",3326,""
"Oil Change","Indianapolis IN","Auto Tire Car Care Centers","(317) 888-1880","3115 Meridian Parke Dr Ste S","Greenwood, IN 46142","IN",46142.0,"http://www.autotirecarcare.com","","(2)","no","","YourPayPalEmail@domain.com","","","AutoTire Car Care Centers have served Indy's Southside auto owners for over 35 years providing exceptional customer service and outstanding value on tires, maintenance items, and automotive repairs.","https://storage.googleapis.com/wzsitethumbnails/site-44507435/800x500.jpg",60,"success","USA","Auto Services","","","","","","","AutoTire Car Care | Indianapolis, IN | Tires + Automotive Repair","https://storage.googleapis.com/wzukusers/user-20431912/images/fav-58a211b737e50nq3H9z2/favicon.ico?v=fav-58a211b737e50nq3H9z2","","",2171,""
"Remanufactured Engines","Houston TX","AW Auto Service","(713) 728-9006","5850 W Airport Blvd","Houston, TX 77035","TX",77035.0,"http://a-w-auto-service.hub.biz","","","no","","","https://twitter.com/share, http://www.facebook.com/hubbiz","","View Aw Auto Service in Houston. View Phone, Address, Reviews, Complaints, Compliments and Similar Businesses to Aw Auto Service","https://hubbiz.net/images/business_logo.png",75,"success","USA","Auto Services","","713) 728-9006, (713) 728-9006, 2011-2026","","https://twitter.com/share","http://www.facebook.com/hubbiz","","Aw Auto Service, Auto Maintenance, Repair, 5850 W Airport Blvd","https://hubbiz.net/images/favicon.ico","",2011.0,1622,""
"Tire Shops","Indianapolis IN","Firestone Complete Auto Care","(317) 843-2811","525 Congressional Blvd","Carmel, IN 46032","IN",46032.0,"http://www.firestonefibers.com","","","no","","","","","For nearly a century, Firestone Fibers and Textiles have led innovation in reinforcement materials. :Learn more about our solutions today.","https://s7d1.scene7.com/is/image/bridgestone/bridgestone-commercial-what-really-matters",65,"success","USA","Auto Services","fsftsales@bfusa.com","003-1500-2","","","","","Fibers and Textiles | Firestone","http://www.firestonefibers.com/content/dam/dcoe/commercial/global/favicons/favicon.ico","","",11645,""
"Remanufactured Engines","Dallas TX","Embassy Auto Repairs","(817) 760-2280","828 Mansfield Webb Rd","Arlington, TX 76002","TX",76002.0,"http://embassyautorepairs.localsearch.com","","17 Years","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",11502,""
"Oil Change","Cleveland OH","Valvoline Instant Oil Change","(216) 586-3494","1856 Warrensville Center Rd","South Euclid, OH 44121","OH",44121.0,"https://store.vioc.com/oh/south-euclid/1856-warrensville-center-road?utm_source=ext&utm_medium=local&utm_campaign=localsearch","","40 Years","no","","CCsocial@valvoline.com","https://www.facebook.com/messages/t/336294853122527, https://www.instagram.com/valvolineinstantoilchange/, https://www.youtube.com/watch?v=cP3FE6jJl8g&list=UULFC6I_vxAeVcSrq7nSvE-6sg, https://www.linkedin.com/company/valvoline/","","Valvoline Instant Oil Change℠, located at 1856 Warrensville Center Road South Euclid, OH 44121. Visit us for drive-thru, stay-in-your-car oil changes. Download coupons. Save on oil changes, tire rotation and more.","",85,"success","USA","Auto Services","ccsocial@valvoline.com","216) 586-3494, (216) 586-3494, (800) 327-8242","https://www.linkedin.com/company/valvoline/","","https://www.facebook.com/messages/t/336294853122527","https://www.instagram.com/valvolineinstantoilchange/","South Euclid Oil Change Services | Valvoline Instant Oil Change℠","data:image/x-icon;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAC+UlEQVR42u2WS0hUYRTHRykXBTG0kBLJ9yQ2qGWli6IHLqJcRAstqBbiEIWYODCaUmkPGqMHZhRFEj1My8lHikpmapONM2M+0hnnfe/97vViC3ElESKn7xvUSua7TuYmmgO/5f3Ouf//Oef7ZLJABCIQ/33wPL8Tc9AfWFHcttR5HDee7u95mFgZJwgZHoMRPAWFgNRFVDiMtaV1WhAEhcTPHK81uyBHZ5Ik91UvuFg0hc8K936IEKoyHckENiYOUCydzq07wGO16QEgeHFyfEaYySlM7nk2ArJLXXRKWuB8XRdwuNiFj53OyXVuUz9jjld6E/FxCp/Yo2JAn3sWsGr5iwtwc3zz6TY3BF/pBtllCmWdkKrVAYPQa1/y7R19+GjWEhFFLYDQFx4BIw1N017/5n0XhJN3jRysv/mJnhyztrAWeoZtX10TE6G+G4jnK0zHToAnJpZagNeKlFRg7I4eYgWRvsOGpiIeDEomlxU3gbZJDwiJh6kdLIriGs/gkN2kTF7CimjQ56uB58dznSzfnFo3BkFS0pe+g3036oFDwuMlxxJ3ZprlyfOZL5ukrTBgKywtrTMF3W4IKu+lJ8eNJy96AYZRB8cwjNyv3YCtuGbOVoE7mm4FhxV6mpYOIbeN0tIX1UNlm2GW7Ae/l5PFYglhRqzDfUkpVCtYzKGELJBn3aEnv/gWMioase985R9vSGxF8thL3fchihXl8fshSqmCyMRTEKJu8Cl96Llq6B9z2UlvLWtNI0Eo7j+TB048/78m/6hIgs1bsr0FEMJ2afCMv/+9AI0OqjrNM6Snln1P4DFbxVhtxr7taQtWEOkzEjIXks8jP1r5M/mFdsi63wwsQlf/+rJiRDHe1vhmemDOiutz0i+GWLGaWIGlDy+phmGHZ5D00orcmHgq8j4XaKAjWgkKLH2kMscnG3drIFhdAzUfBr7hTZm4Ylc22Xisw9mlLb0FqrJ7kmhr2smC0qz4uwEvkQ34rw74A+mdwEsrEIH4Z+IHWXlt1EJ24CUAAAAASUVORK5CYII=","",2025.0,1829,""
"Tire Shops","Columbus OH","Walmart Auto Care Centers","(614) 239-7804","3657 E Main St","Whitehall, OH 43213","OH",43213.0,"https://www.walmart.com/store/3447-whitehall-oh/auto-care-center","","","no","","","","","","",50,"success","USA","Auto Services","","","","","","","Robot or human?","","","",23027,""
"Car Detailing","Fort Lauderdale FL","Sunny Palms","(954) 561-0767","2902 Vistamar St","Fort Lauderdale, FL 33304","FL",33304.0,"http://sunnypalms.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Car Wheels","Miami FL","Caymann Autosports","(305) 233-7707","12920 SW 128th St","Miami, FL 33186","FL",33186.0,"http://caymannautosportsfl.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Tire Shops","Cleveland OH","Mobile Lift Truck Tire Co","(216) 621-8473","","Cleveland, OH 44114","OH",44114.0,"http://mobilelifttrucktireco.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Towing","Chicago IL","Top Roadside Assistance Services in Chicago","(630) 446-2390","504 N Wells St","Chicago, IL 60654","IL",60654.0,"http://toproadsideassistanceservicesinchicago.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Oil Change","Memphis TN","Hondahaven of Desoto Inc","(662) 280-6850","6900 Sartain Dr","Horn Lake, MS 38637","MS",38637.0,"http://desotoimports.localsearch.com","","36 Years","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Towing","Birmingham AL","Roadside & Towing Services","(205) 517-7536","","","","","http://roadsidetowingservicesal.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Towing","Los Angeles CA","Edward's Towing","(323) 372-0285","1626 Wilcox Ave","Los Angeles, CA 90028","CA",90028.0,"http://edwardstowing5867932.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Towing","Chicago IL","Fast Eddie & Sons Towing Co","(773) 638-6031","","","","","http://fasteddiesonstowingco.localsearch.com","","(1)","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Parts","Nashville TN","The Glass Guy","(615) 260-7211","320 Dinwiddie Dr","Madison, TN 37115","TN",37115.0,"http://theglassguytn.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Repair","Tampa FL","Maaco","(813) 972-3244","1721 E Fowler Ave Ste A","Tampa, FL 33612","FL",33612.0,"http://maaco.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Remanufactured Engines","San Jose CA","Amarals Engine Parts and Machine","(510) 656-9351","45405 Industrial Pl Ste 1","Fremont, CA 94538","CA",94538.0,"http://amaralsenginepartsandmachine.localsearch.com","","47 Years","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Repair","Orlando FL","Exquisite Mobile Detailing","(407) 591-2632","4885 Raleigh St","Orlando, FL 32811","FL",32811.0,"http://exquisitemobiledetailing.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Car Transport","New York NY","Auto Shippers Express","(800) 454-1315","","","","","http://www.yellowbot.com/auto-shippers-express-new-york-ny.html","","28 Years","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Glass Repair","Fort Lauderdale FL","Steve's Auto Glass","(954) 573-1294","1212 E Broward Blvd","Fort Lauderdale, FL 33301","FL",33301.0,"https://stevesautoglassinc.com","","","no","","Stevesautoglassinc@gmail.com, matt@pixelspread.com, hello@rfuenzalida.com","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Glass Repair","Jacksonville FL","Glass Specialists Inc","(904) 242-8872","1198 Mayport Rd Ste 11","Atlantic Beach, FL 32233","FL",32233.0,"http://www.glassspecialistsinc.com","","(6)","no","","glassspecialists@bellsouth.net","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Car Wheels","Denver CO","Wheel Pros","(720) 903-7884","5347 S Valentia Way","Greenwood Village, CO 80111","CO",80111.0,"http://wheelpros.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Remanufactured Engines","Dallas TX","Revive Collision","(972) 422-9082","901 E Plano Pkwy","Plano, TX 75074","TX",75074.0,"http://www.revivecollision.com","","(1)","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Towing","Los Angeles CA","Popeye Towing","(323) 784-0785","110 N Fairfax Ave","Los Angeles, CA 90036","CA",90036.0,"http://popeyetowing468383437.localsearch.com","","","no","","","","","","",0,"timeout","USA","Auto Services","","","","","","","","","","",0,"Connection timed out"
"Auto Body Parts","Cleveland OH","Midtown Auto & Bike","(216) 332-0435","17388 Broadway Ave","Maple Heights, OH 44137","OH",44137.0,"http://midtownautoandbike.com","","","no","","","","","","",0,"error","USA","Auto Services","","","","","","","","","","",0,"Cannot connect to host midtownautoandbike.com:80 ssl:False [getaddrinfo failed]"
"Towing","Birmingham AL","Birmingham Towing","(205) 719-2944","","","","","http://birminghamtowing544963632.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1061,""
"Brake Repair","Los Angeles CA","Automotive Carburetor Exchange","(323) 937-2283","5711 Venice Blvd","Los Angeles, CA 90019","CA",90019.0,"http://automotivecarburetorexchangeca.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1076,""
"Auto Body Parts","Fort Lauderdale FL","Auto Glass Services","(954) 364-3925","348 Indiana St","Hollywood, FL 33019","FL",33019.0,"http://autoglassservices516932351.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1454,""
"Towing","Birmingham AL","Auto Towing & Lockout","(205) 582-4482","","","","","http://autotowinglockoutal.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1110,""
"Towing","Birmingham AL","Dependable Towing","(205) 453-2203","415 8th St","Docena, AL 35060","AL",35060.0,"http://dependabletowing534957189.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1269,""
"Tire Shops","Columbus OH","Discount Tire","(614) 932-0358","5828 Sawmill Rd","Dublin, OH 43017","OH",43017.0,"https://www.discounttire.com/store/oh/dublin/s/1488","","(1)","no","","","","","","",65,"success","USA","Auto Services","","","","","","","ERROR: The request could not be satisfied","","","",495,""
"Auto Body Parts","Birmingham AL","WINDSHIELDS FROM $99 ALABAMA","(205) 234-3440","2027 2nd AVE n","Bessemer, AL 35020","AL",35020.0,"http://windshieldsfrom99alabama.localsearch.com","","36 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1298,""
"Oil Change","Cleveland OH","Take 5 Oil Change","(216) 815-3784","5668 Broadview Rd","Parma, OH 44134","OH",44134.0,"https://www.take5.com/locations/oil-change/ohio/parma/30138","","41 Years","no","","take5.shop138@take5oilchange.com","https://www.facebook.com/Take5OilChange/, https://twitter.com/take5_oilchange, https://www.instagram.com/take5oilchange/","","Stay in your car for a 10 minute oil change at Take 5 Oil Change in Parma at 5668 Broadview Rd. Visit our location near you or give us a call today!","https://images.ctfassets.net/v3p61xoag5ig/4LCj0O71dETHvwMg6nPCyJ/72d313b1666ba9bb46d79400b9aae5d0/open_graph_oil_change.png",95,"success","USA","Auto Services","take5.shop138@take5oilchange.com","216-815-3784, 44134 216-815","","https://twitter.com/take5_oilchange","https://www.facebook.com/Take5OilChange/","https://www.instagram.com/take5oilchange/","Oil Change Near Me in  Parma OH 44134 - Take 5 #138","https://www.take5.com/favicon.ico","",2025.0,599,""
"Car Detailing","Fort Lauderdale FL","Trim Car Inc","(954) 616-8479","1452 NW 23rd Ave","Fort Lauderdale, FL 33311","FL",33311.0,"http://trimcarinc.localsearch.com","","21 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1668,""
"Car Detailing","Orlando FL","Lenza Mobile Detailing","(352) 255-9030","","","","","http://lenzamobiledetailing.localsearch.com","","","no","","","","","","",60,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",966,""
"Towing","Chicago IL","City of Chicago Auto Pound","(773) 265-7605","701 N Sacramento Blvd","Chicago, IL 60612","IL",60612.0,"http://cityofchicagoautopound.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1691,""
"Car Detailing","Tampa FL","Mobile Car Detailing Tampa","(813) 214-0131","Pinecrest West Park","Tampa, FL 33614","FL",33614.0,"https://mobilecardetailingtampafl.com","","","no","","tasbeehatabassum@gmail.com, someone@example.com, info@mobilecardetailingtampafl.com","","","Experience best-quality 24/7 mobile car detailing services in Tampa. We come to your doorstep for professional cleaning, waxing, and interior detailing.","",85,"success","USA","Auto Services","tasbeehatabassum@gmail.com, info@mobilecardetailingtampafl.com","813-214-0131, +1 813-214-0131","","","","","24/7 Mobile Car Detailing services in Tampa, FL","https://mobilecardetailingtampafl.com/wp-content/uploads/2025/05/mobilecardetailingtampafl-512x512-1-150x150.png","",2015.0,1710,""
"Auto Repair","Orlando FL","Thomason Automotive","(407) 897-6293","915 N Mills Ave","Orlando, FL 32803","FL",32803.0,"http://thomasonautomotive.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54, 8199545","","","","","Attention Required! | Cloudflare","","","",1976,""
"Remanufactured Engines","New York NY","Imperial Auto Repair Inc","(718) 779-4747","5403 37th Ave","Woodside, NY 11377","NY",11377.0,"http://imperialautoinc.com","","","no","","imperialautoinc@gmail.com","","","","",65,"success","USA","Auto Services","imperialautoinc@gmail.com","(708) 755-4363, 708) 755-4343, (708) 755-4343","","","","","Imperial Automotive","","",1981.0,1518,""
"Towing","Birmingham AL","Center Point Wrecker Service","(205) 508-3523","1724 27th Ct S","Birmingham, AL 35209","AL",35209.0,"http://centerpointwreckerservice465666701.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1610,""
"Auto Body Parts","Nashville TN","Prices Collision Centers","(615) 679-9005","1535 Gallatin Pike N","Madison, TN 37115","TN",37115.0,"http://pricescollisioncenters.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1651,""
"Towing","Los Angeles CA","Luis Towing","(323) 372-5683","1304 N Highland Ave","Los Angeles, CA 90028","CA",90028.0,"http://luistowing468373781.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1652,""
"Auto Repair","Orlando FL","Last Car Auto Collision I","(407) 601-6521","11349 S Orange Blossom Trl Ste B110","Orlando, FL 32837","FL",32837.0,"http://lastcarautocollisioni.localsearch.com","","15 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1705,""
"Oil Change","Nashville TN","Music City Mechanic","(615) 430-1636","2342 Rader Ridge Rd","Antioch, TN 37013","TN",37013.0,"http://musiccitymechanic.localsearch.com","","13 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1724,""
"Tire Shops","Indianapolis IN","Azbell Co","(317) 545-1228","7159 E 46th St","Indianapolis, IN 46226","IN",46226.0,"http://azbellco.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1758,""
"Auto Parts","Memphis TN","The Muffler Shop","(901) 785-5700","5193 S 3rd St","Memphis, TN 38109","TN",38109.0,"http://themufflershoptn.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2587,""
"Auto Body Parts","Columbus OH","Caliber Collision","(380) 333-3107","4085 Hamilton Square Blvd","Groveport, OH 43125","OH",43125.0,"https://www.caliber.com/find-a-location/groveport","","","no","","Groveport@CaliberCollision.com","https://www.youtube.com/channel/UCQBTY8pvove08XaF8locwoA, https://www.facebook.com/calibercollisioncenters/, https://www.instagram.com/calibercollision/?hl=en, https://twitter.com/CaliberAutoBody, https://www.linkedin.com/company/calibercollision/posts","","Need a reliable auto repair shop in Groveport? You can trust the pros at Caliber. Call us for collision services in Obetz, Blacklick Estates and beyond.","https://www.caliber.com/images-next/Caliber_1200x630.png",90,"success","USA","Auto Services","groveport@calibercollision.com","380) 333-3107, (380) 333-3107","https://www.linkedin.com/company/calibercollision/posts","https://twitter.com/CaliberAutoBody","https://www.facebook.com/calibercollisioncenters/","https://www.instagram.com/calibercollision/?hl=en","Auto Body Shop in Groveport | Caliber Collision","https://www.caliber.com/favicons/outline-bg/apple-icon-57x57.png","","",1875,""
"Auto Body Parts","Birmingham AL","Donohoo Auto","(205) 545-5662","8122 Helena Rd","Pelham, AL 35124","AL",35124.0,"http://www.donohooauto.com","","27 Years","no","","flags@2x.png","https://www.facebook.com/donohooauto, https://twitter.com/donohooauto, https://www.youtube.com/user/DonohooAuto, https://www.instagram.com/donohooauto","","Shop hundreds of pre-owned cars, trucks, and SUVs at Donohoo Auto. Our dealership is in Birmingham and a short drive from Tuscaloosa and Montgomery.","",65,"success","USA","Auto Services","","205-444-9333, 205-444-9333 8122","","https://twitter.com/donohooauto","https://www.facebook.com/donohooauto","https://www.instagram.com/donohooauto","Donohoo Auto - Pre-Owned Cars, Trucks, and SUVs in Birmingham","http://www.donohooauto.com/favicon.ico","",1999.0,1990,""
"Used Car Parts","San Diego CA","Vee Parts & Accessories","(619) 258-5524","1666 N Magnolia Ave","El Cajon, CA 92020","CA",92020.0,"http://veepartsaccessoriesca.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2283,""
"Car Detailing","Jacksonville FL","103rd Car Wash","(904) 573-0057","6730 103rd St","Jacksonville, FL 32210","FL",32210.0,"http://103rdcarwash.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2275,""
"Auto Body Parts","Fort Lauderdale FL","Arpco Auto Painting","(954) 974-4263","605 W Atlantic Blvd","Pompano Beach, FL 33060","FL",33060.0,"http://arpcoautopaintingfl.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2289,""
"Auto Glass Repair","Jacksonville FL","Dean Hecht's Glass Service","(904) 993-3834","","Jacksonville, FL 32211","FL",32211.0,"http://deanhechtsglassservice.localsearch.com","","(1)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2317,""
"Towing","Los Angeles CA","Ultimate Towing","(323) 798-7312","1304 N Highland Ave","Los Angeles, CA 90028","CA",90028.0,"http://ultimatetowingca.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2352,""
"Towing","Birmingham AL","Midnight Towing Services","(205) 200-3851","701 Donald Pkwy","Fairfield, AL 35064","AL",35064.0,"http://midnighttowingservices.localsearch.com","","(5)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2340,""
"Auto Body Parts","Columbus OH","Rieser Brothers Auto Body","(614) 875-7781","3815 Grove City Rd","Grove City, OH 43123","OH",43123.0,"http://rieserbrothersautobody.localsearch.com","","74 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2374,""
"Tire Shops","Cleveland OH","Eagle Industrial Tire Co","(216) 315-6171","4400 Willow Pkwy","Cleveland, OH 44125","OH",44125.0,"http://eagleindustrialtireco.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2367,""
"Auto Glass Repair","Fort Lauderdale FL","Skycar Auto Glass Inc","(954) 981-9797","5700 Funston St","Hollywood, FL 33023","FL",33023.0,"http://skycarautoglassinc.localsearch.com","","42 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2363,""
"Auto Body Parts","Birmingham AL","Knight Paint And Body","(205) 229-5998","1815 7th Ave N","Bessemer, AL 35020","AL",35020.0,"http://knightpaintandbody.localsearch.com","","(1)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2392,""
"Auto Repair","Tampa FL","University Body Repair Inc","(813) 971-2167","1138 E Fletcher Ave","Tampa, FL 33612","FL",33612.0,"http://universitybodyrepairinc.localsearch.com","","38 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2388,""
"Auto Parts","Nashville TN","Midas Auto Service Experts","(615) 255-3685","","Nashville, TN 37211","TN",37211.0,"http://midasautoserviceexperts459581087.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2422,""
"Auto Repair","Orlando FL","Preferred Towing & Roadside Service","(407) 733-0066","1326 35th St","Orlando, FL 32839","FL",32839.0,"http://preferredtowingroadsideservice.localsearch.com","","(1)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2456,""
"Auto Repair","Orlando FL","Automotive Shop","(321) 236-4347","8417 Waialae Ct","Orlando, FL 32819","FL",32819.0,"http://automotiveshopfl.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2466,""
"Auto Body Parts","Fort Lauderdale FL","Kims Auto Body and Paint Shop","(954) 933-7601","1551 SW 3rd St","Pompano Beach, FL 33069","FL",33069.0,"http://kimsautobodyandpaintshop.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2477,""
