category,state,company_name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Oil Change,Memphis TN,Block Automotive Inc,(901) 757-8000,9439 Cordova Park Rd,"Cordova, TN 38018",TN,38018.0,http://www.blockautomotive.com,,(9),no,,,,,,http://blockautomotive.com/wp-content/uploads/2017/01/Fav.png,50,success,USA,Auto Services
Used Car Parts,Boston MA,Lappens Discount Auto Parts,(781) 356-2525,139 Howard St,"Braintree, MA 02184",MA,2184.0,http://lappensdiscountautoparts.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Memphis TN,Nash Auto Body & Sales,(870) 400-0440,2509 E Broadway St,"West Memphis, AR 72301",AR,72301.0,http://cliffcarterbodyshop.com,,,no,,,,,,,65,success,USA,Auto Services
Towing,Los Angeles CA,Morataya Heavy Tow & Light Towing Service,(310) 493-1449,1800 E Imperial Hwy,"Los Angeles, CA 90059",CA,90059.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Glass Repair,Jacksonville FL,Glass Masters,(904) 362-8050,7616 Arble Dr,"Jacksonville, FL 32211",FL,32211.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Vince's Auto Body & Sales,(877) 752-6019,1220 Columbia St,"Orlando, FL 32805",FL,32805.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,The Internationals Auto Body Inc,(407) 914-2278,228 N Orange Blossom Trl,"Orlando, FL 32805",FL,32805.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Resurgence Collision-Auto Repair,(407) 209-9261,1237 22nd St,"Orlando, FL 32805",FL,32805.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Parts,Nashville TN,Prolift Toyota Material Handling,(615) 350-6700,100 Fernco Dr,"Nashville, TN 37207",TN,37207.0,http://www.garrisontoyota.com,,66 Years,no,,,"https://www.facebook.com/ToyotaMHMidSouth, https://www.linkedin.com/company/toyota-material-handling-midsouth/, https://twitter.com/TMHMidSouth",,"We’ve been Middle Tennessee, Southern Kentucky, Chattanooga, Knoxville, North Georgia, and North Alabama's source for forklift sales, service, parts, rentals & warehouse…",http://www.garrisontoyota.com/apple-touch-icon.png,65,success,USA,Auto Services
Towing,Louisville KY,Trusted Towing,(502) 208-2118,,,,,http://trustedtowing544975034.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Indianapolis IN,Quick Lane,(317) 222-3160,10320 Pendleton Pike,"Indianapolis, IN 46236",IN,46236.0,https://www.sharpcarsofindy.com,,13 Years,no,,,,,,,0,error,USA,Auto Services
Towing,Los Angeles CA,Today Towing,(424) 208-2646,1093 Broxton Ave,"Los Angeles, CA 90024",CA,90024.0,http://todaytowing.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Wheels,Dallas TX,Michel Tires Plus,(214) 441-0947,1428 E Irving Blvd,"Irving, TX 75060",TX,75060.0,http://www.tiresplus.com,,,no,,,,,,,65,success,USA,Auto Services
Car Detailing,Tampa FL,International Car Care,(813) 373-6892,9714 N Nebraska Ave,"Tampa, FL 33612",FL,33612.0,http://internationalcarcarefl.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Memphis TN,Charles Goldy,(870) 735-4215,400 E Jefferson Ave,"West Memphis, AR 72301",AR,72301.0,http://charlesgoldy.localsearch.com,,9 Yearswith,no,,,,,,,60,success,USA,Auto Services
Tire Shops,Indianapolis IN,Goodyear Auto Service Center,(317) 781-8429,1950 W Edgewood Ave,"Indianapolis, IN 46217",IN,46217.0,http://www.goodyear.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Nashville TN,Truckers Lighthouse,(615) 255-5868,1213 Foster Ave Ste A,"Nashville, TN 37210",TN,37210.0,http://truckerslighthousetn.localsearch.com,,43 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Los Angeles CA,Allways Towing,(323) 503-7574,,"Los Angeles, CA 90063",CA,90063.0,http://allwaystowing476335978.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Nashville TN,Cumberland Lease & Rental,(615) 829-7800,1901 Lebanon Pike,"Nashville, TN 37210",TN,37210.0,http://www.cumberlandintltrucks.com,,14 Years,no,,,,,,,65,success,USA,Auto Services
Used Car Parts,Boston MA,Triple 5 Motors,(617) 481-1375,555 Southern Artery,"Quincy, MA 02169",MA,2169.0,https://triple5motors.com,,15 Years,no,,,,,,,60,success,USA,Auto Services
Used Car Parts,Denver CO,Dent Master Collision Center,(303) 717-9311,10575 Melody Dr #103,"Northglenn, CO 80234",CO,80234.0,https://dentmasterinc.com/locations/dent-master-collision-center-automotive-dent-repair-services-northglenn-colorado,,7 Years,no,,"dentmasterinfo@gmail.com, red@2x.png",,,"Dent Master Collision Center is known for its paintless dent repair, quality vehicle maintenance and repairs since 1987. We provide high-quality services in Northglenn, CO and the greater Denver area with a warranty on body paint and repairs services. We also offer 24/7 towing service and assist with all claims. Learn more.",https://dentmasterinc.com/wp-content/uploads/2020/02/FAV.jpg,80,success,USA,Auto Services
Towing,Louisville KY,Auto Towing,(502) 403-2725,,,,,http://autotowingky.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Towing,Louisville KY,Towing Slim Jim,(270) 803-0172,,,,,http://yellowpages.com/louisville-ky/mip/jack-rabbit-roadside-assistance-15133535,,,no,,,,,,,60,success,USA,Auto Services
Used Car Parts,Denver CO,Genuine Parts Co,(303) 279-4579,885 Lupine St,"Golden, CO 80401",CO,80401.0,http://genuinepartscoco.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Boston MA,Autopart International,(617) 328-1530,39 Broad St,"Quincy, MA 02169",MA,2169.0,http://autopartinternational481594424.localsearch.com,,69 Years,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Nashville TN,Choice Truck & Equipment,(615) 650-9009,2909 Brick Church Pike,"Nashville, TN 37207",TN,37207.0,https://www.choicetruckandequipment.com/contact,,15 Years,no,,,,,"Reach out to us at Choice Truck and Equipment, your Nashville-based vehicle and equipment repair partner.",https://cdn.prod.website-files.com/6423aaec98e25fb37030c2d0/64a1eb053a196175b669102f_choice-truck-and-equipment-favicon.png,80,success,USA,Auto Services
Auto Glass Repair,Jacksonville FL,Apache Glass & Handyman,(904) 316-6560,5316 Tessa Ter,"Jacksonville, FL 32244",FL,32244.0,https://apacheglassjax.com/services,,,no,,,,,Take a look at our glass repair needs here at the Apache Glass & Handyman LLC website. Click for more details about us today.,"https://img1.wsimg.com/isteam/ip/08537ad5-eb32-49bb-8f4a-84321885a005/logo/dff0d920-903a-499e-9b7a-bfbdfda30557.png/:/rs=w:57,h:57,m",80,success,USA,Auto Services
Tire Shops,Indianapolis IN,Big Mo's New & Used Tires,(317) 377-0444,5461 E 30th St,"Indianapolis, IN 46218",IN,46218.0,http://bigmosnewusedtires.localsearch.com,,(2),no,,,,,,,60,success,USA,Auto Services
Towing,Louisville KY,Locked Your Keys & Towing,(502) 276-8748,,,,,http://lockedyourkeystowingky.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Body Parts,Memphis TN,Imperial Collision Center,(870) 735-1660,1723 E Broadway St,"West Memphis, AR 72301",AR,72301.0,http://imperialcollisioncenter.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Car Detailing,Tampa FL,CH LUXURY DETAILING,(786) 477-9884,12413 Plantation Pine Ln,"Tampa, FL 33635",FL,33635.0,http://chluxurydetailing.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Orlando FL,Full Metal Autobody,(407) 422-6913,43 N Dollins Ave,"Orlando, FL 32805",FL,32805.0,,,,no,,,,,,,0,error,USA,Auto Services
Car Detailing,Tampa FL,Supreme Detailing,(813) 379-9170,10220 Fisher Ave,"Tampa, FL 33619",FL,33619.0,https://supremedetailing.us/contact,,,no,,,,,,,70,success,USA,Auto Services
Remanufactured Engines,Houston TX,W R Auto Care,(832) 770-9957,1435 Aldine Bender Rd,"Houston, TX 77032",TX,77032.0,http://yellowpages.com/houston-tx/mip/scotts-car-repair-8998470,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Memphis TN,Hinkle's Paint and Body,(870) 394-9341,1504 Thompson Ave,"West Memphis, AR 72301",AR,72301.0,http://hinklespaintandbody.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Oil Change,Indianapolis IN,All Tune & Lube,(317) 270-9690,6340 Rockville Rd,"Indianapolis, IN 46214",IN,46214.0,http://www.alltuneandlube.com,,,no,,,,,"Your Neighborhood Auto Repair Shop Since 1986, All Tune Total Car Care has been your trusted destination for comprehensive automotive service. Services That Keep You Moving Why Choose All Tune Total Car Care? Decades of Trust and Experience With almost 40 years in the industry, we’ve built a reputation for honesty, reliability, and quality service",http://www.alltuneandlube.com/wp-content/uploads/2025/06/alltune-favicon-2.png,60,success,USA,Auto Services
Car Stereo Systems,Cleveland OH,Audio Video Interiors Inc,(440) 886-6666,7204 Pearl Rd,"Cleveland, OH 44130",OH,44130.0,http://audiovideointeriorsinc.localsearch.com,,36 Years,no,,,,,,,60,success,USA,Auto Services
Used Car Parts,Atlanta GA,GFC Record Service,(404) 284-4040,2883 Knollview Dr,"Decatur, GA 30034",GA,30034.0,http://yellowpages.com/decatur-ga/mip/gfc-record-service-472088139,,27 Years,no,,,,,,,65,success,USA,Auto Services
Towing,Los Angeles CA,Auto junk cars  We buy,(323) 205-5809,,"Los Angeles, CA 90047",CA,90047.0,http://www.expressjunkcars.com,,(8),no,,"info@indiantypefoundry.com, milenabbrandao@gmail.com",,,"We’ll give you cash for a car you no longer use.
 We’ll pick up your car the same day.
-Towing service is free and we’ll pay you the best price for your old junk car 4 cash","http://isteam.wsimg.com/ip/83ca1f4e-a346-434b-8dbd-8d8e8a5a094c/b2_download_file_by_id.jpeg.jpg/:/rs=w:57,h:57,m",70,success,USA,Auto Services
Used Car Parts,Boston MA,A B and S Warehouse,(617) 364-1111,1520 River St,"Hyde Park, MA 02136",MA,2136.0,https://www.abswhse.com/locations,,15 Years,no,,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, PMS2748@500-8.png","https://www.instagram.com/abswhse/, https://www.linkedin.com/company/abswhse",,,https://static.wixstatic.com/media/053c31_90d8f1b0b4b04f0fae1c1d909aa96b2d%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/053c31_90d8f1b0b4b04f0fae1c1d909aa96b2d%7Emv2.png,65,success,USA,Auto Services
Auto Parts,Nashville TN,Efs - A Wex Company,(615) 777-4619,3100 W End Ave Ste 1150,"Nashville, TN 37203",TN,37203.0,http://www.efsllc.com,,9 Years,no,,,,,EFS and Fleet One corporate and fleet payment solutions help owner-operators and major carriers alike drive efficiencies and improve bottom line performance.,https://www.efsllc.com/wp-content/uploads/2022/02/WEX_Favicon.svg,60,success,USA,Auto Services
Car Wheels,Dallas TX,D H Tire Shop,(972) 579-4707,1605 E Irving Blvd,"Irving, TX 75060",TX,75060.0,http://rentatire.com,,(1),no,,"info@rentawheel.com, optout@rentawheel.com",,,RAW Wheels + Tires is the largest rent-to-own custom wheel and tire retailer in the US with over 130 locations across 15 states. Get your custom package today!,http://rentatire.com/Themes/RideStyler-RAW/Content/img/favicon.ico,60,success,USA,Auto Services
Tire Shops,Indianapolis IN,Pomp's Tire,(317) 782-8540,1320 Terminal Rd,"Indianapolis, IN 46217",IN,46217.0,http://www.pompstire.com,,87 Years,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Nashville TN,All-Star Trucks & Equipment,(615) 313-7788,550 Expressway Park Dr,"Nashville, TN 37210",TN,37210.0,http://all-startruck.com,,34 Years,no,,,,,,,0,error,USA,Auto Services
Oil Change,Indianapolis IN,Take 5 Oil Change,(317) 683-0104,5235 E Southport Rd,"Indianapolis, IN 46237",IN,46237.0,https://www.take5.com/locations/oil-change/indiana/indianapolis/31113,,,no,,"andy@take5indiana.com, elliot@take5indiana.com, Shop1113@take5oil.com","https://twitter.com/take5_oilchange, https://www.facebook.com/Take5OilChange/, https://www.instagram.com/take5oilchange/",,Stay in your car for a 10 minute oil change at Take 5 Oil Change in Indianapolis at 5235 E. Southport Rd.. Visit our location near you or give us a call today!,https://www.take5.com/favicon.ico,100,success,USA,Auto Services
Auto Repair,Orlando FL,Vinces Auto Body,(407) 841-2246,4222 Forrestal Ave,"Orlando, FL 32806",FL,32806.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,A K Collision Paint & Body,(407) 591-1619,1900 N Orange Blossom Trl,"Orlando, FL 32804",FL,32804.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Full Throttle Customs Autos,(407) 704-3986,3699 S Orange Blossom Trl,"Orlando, FL 32839",FL,32839.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Body Parts,Memphis TN,Steve Jones Automotive,(870) 735-2277,2803 S Service Rd,"West Memphis, AR 72301",AR,72301.0,,,16 Years,no,,,,,,,0,error,USA,Auto Services
Auto Glass Repair,Jacksonville FL,B & C Glass & Mirror,(904) 379-9747,3809 Trout River Blvd,"Jacksonville, FL 32208",FL,32208.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Glass Repair,Jacksonville FL,Sea Glass,(904) 423-0501,3520 Saint Johns Bluff Rd S,"Jacksonville, FL 32224",FL,32224.0,,,,no,,,,,,,0,error,USA,Auto Services
Car Detailing,Tampa FL,Transit Mobile Detailing,(813) 414-3031,4733 Dunquin Pl,"Tampa, FL 33610",FL,33610.0,https://transitmobiledetailing.net,,,no,,"lemonad@jovanny.ru, contact@sansoxygen.com",,,,"https://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:57,h:57,m",70,success,USA,Auto Services
Remanufactured Engines,Houston TX,L R Auto Repairs,(281) 987-9236,14903 Ormel St,"Houston, TX 77039",TX,77039.0,http://yellowpages.com/houston-tx/mip/joshs-auto-repair-528293958,,,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Nashville TN,Chuck's Truck Accessories,(615) 860-4500,3821 Dickerson Pike,"Nashville, TN 37207",TN,37207.0,http://chuckstruckaccessories.localsearch.com,,(2),no,,,,,,,50,success,USA,Auto Services
Towing,Louisville KY,Auto Key & Towing,(502) 276-8750,,,,,http://autokeytowingky.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto AC Repair,Chicago IL,Wheels of Chicago,(773) 292-6200,6229 N Western Ave,"Chicago, IL 60659",IL,60659.0,http://www.wheelsofchicago.com,,(2),no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Nashville TN,Single Source,(615) 726-0361,321 Wilhagan Rd,"Nashville, TN 37217",TN,37217.0,http://www.ncsssi.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Glass Repair,Jacksonville FL,SE Glass,(904) 741-4522,14476 Duval Pl W,"Jacksonville, FL 32218",FL,32218.0,http://seglassco.com,,46 Years,no,,,,,"We are a licensed, insured, and experienced glass company. We are trained and certified for commercial and residential installations requiring scaffolding, repelling, and swing stage work.",http://seglassco.com/images/favicon.png,60,success,USA,Auto Services
Car Detailing,Tampa FL,Refreshing Touch Mobile Detailing,(727) 416-7075,,"Tampa, FL 33612",FL,33612.0,https://cardetailingservicetampafl.com,,11 Years,no,,,,,,,0,error,USA,Auto Services
Towing,Los Angeles CA,Edys Auto Repair & Auto Body,(323) 758-1833,949 west 66th street,"Los angeles, CA 90044",CA,90044.0,http://edysautorepairautobody.localsearch.com,,(3),no,,,,,,,60,success,USA,Auto Services
Towing,Louisville KY,Coyle Towing,(502) 773-2235,,,,,http://coyletowingky.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Nashville TN,Neely's Bend Auto Recyclers,(615) 868-9631,,"Madison, TN 37115",TN,37115.0,http://recycler.car-part.com/NeelysBend,,(1),no,,NeelysBendAutoParts@hotmail.com,,,"Neely's Bend Auto Parts and Sales: serving the Madison, TN area with quality used parts",,80,success,USA,Auto Services
Tire Shops,Indianapolis IN,Brother's Tire Shop,(317) 247-0011,7522 W Washington St,"Indianapolis, IN 46231",IN,46231.0,http://brotherstireshopin.localsearch.com,,21 Years,no,,,,,,,60,success,USA,Auto Services
Oil Change,Indianapolis IN,Take 5 Oil Change,(317) 900-1499,3640 S East St,"Indianapolis, IN 46227",IN,46227.0,https://www.take5.com/locations/oil-change/indiana/indianapolis/31433,,,no,,"shop1433@take5oil.com, elliot@take5indiana.com, andy@take5indiana.com","https://twitter.com/take5_oilchange, https://www.facebook.com/Take5OilChange/, https://www.instagram.com/take5oilchange/",,Stay in your car for a 10 minute oil change at Take 5 Oil Change in Indianapolis at 3640 S East St. Visit our location near you for fast friendly service!,https://www.take5.com/favicon.ico,95,success,USA,Auto Services
Oil Change,Indianapolis IN,Valvoline Instant Oil Change,(463) 203-5720,5255 E Thompson Rd,"Indianapolis, IN 46237",IN,46237.0,https://store.vioc.com/in/indianapolis/5255-e-thompson-rd?utm_source=ext&utm_medium=local&utm_campaign=localsearch,,40 Years,no,,,"https://www.facebook.com/viocofficial, https://www.instagram.com/valvolineinstantoilchange/, https://www.facebook.com/messages/t/336294853122527",,"Valvoline Instant Oil Change℠, located at 5255 E Thompson Rd Indianapolis, IN 46237. Visit us for drive-thru, stay-in-your-car oil changes. Download coupons. Save on oil changes, tire rotation and more.","data:image/x-icon;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAYAAABzenr0AAAC+UlEQVR42u2WS0hUYRTHRykXBTG0kBLJ9yQ2qGWli6IHLqJcRAstqBbiEIWYODCaUmkPGqMHZhRFEj1My8lHikpmapONM2M+0hnnfe/97vViC3ElESKn7xvUSua7TuYmmgO/5f3Ouf//Oef7ZLJABCIQ/33wPL8Tc9AfWFHcttR5HDee7u95mFgZJwgZHoMRPAWFgNRFVDiMtaV1WhAEhcTPHK81uyBHZ5Ik91UvuFg0hc8K936IEKoyHckENiYOUCydzq07wGO16QEgeHFyfEaYySlM7nk2ArJLXXRKWuB8XRdwuNiFj53OyXVuUz9jjld6E/FxCp/Yo2JAn3sWsGr5iwtwc3zz6TY3BF/pBtllCmWdkKrVAYPQa1/y7R19+GjWEhFFLYDQFx4BIw1N017/5n0XhJN3jRysv/mJnhyztrAWeoZtX10TE6G+G4jnK0zHToAnJpZagNeKlFRg7I4eYgWRvsOGpiIeDEomlxU3gbZJDwiJh6kdLIriGs/gkN2kTF7CimjQ56uB58dznSzfnFo3BkFS0pe+g3036oFDwuMlxxJ3ZprlyfOZL5ukrTBgKywtrTMF3W4IKu+lJ8eNJy96AYZRB8cwjNyv3YCtuGbOVoE7mm4FhxV6mpYOIbeN0tIX1UNlm2GW7Ae/l5PFYglhRqzDfUkpVCtYzKGELJBn3aEnv/gWMioase985R9vSGxF8thL3fchihXl8fshSqmCyMRTEKJu8Cl96Llq6B9z2UlvLWtNI0Eo7j+TB048/78m/6hIgs1bsr0FEMJ2afCMv/+9AI0OqjrNM6Snln1P4DFbxVhtxr7taQtWEOkzEjIXks8jP1r5M/mFdsi63wwsQlf/+rJiRDHe1vhmemDOiutz0i+GWLGaWIGlDy+phmGHZ5D00orcmHgq8j4XaKAjWgkKLH2kMscnG3drIFhdAzUfBr7hTZm4Ylc22Xisw9mlLb0FqrJ7kmhr2smC0qz4uwEvkQ34rw74A+mdwEsrEIH4Z+IHWXlt1EJ24CUAAAAASUVORK5CYII=",65,success,USA,Auto Services
Towing,Los Angeles CA,Mares Towing,(323) 372-0937,8491 West Sunset Blvd,"Los Angeles, CA 90069",CA,90069.0,http://marestowing467969421.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Oil Change,Indianapolis IN,Hobbs Automotive Service,(317) 898-0644,46 S Post Rd,"Indianapolis, IN 46219",IN,46219.0,http://www.acdelco.com,,(3),no,,,,,,,50,success,USA,Auto Services
Oil Change,Indianapolis IN,Tom Wood Volkswagen,(317) 810-9372,4610 E 96th St Ste B,"Indianapolis, IN 46240",IN,46240.0,http://www.tomwoodvolkswagen.com,,,no,,TOMWOODVW2325@ADFLEADS.COM,"https://www.facebook.com/TomWoodVolkswagen, https://www.instagram.com/tomwood.automotive/",,"Visit your local Volkswagen dealer in Indianapolis, IN, and explore new and used VW vehicles and services. Take a test drive or discuss your financing options.",http://pictures.dealer.com/d/dealerforms/0061/e66d0f40f70ac1d10e21c756b722be26x.jpg,65,success,USA,Auto Services
Towing,Los Angeles CA,Los Angeles Towing,(213) 296-0006,5201 clinton st,"Los Angeles, CA 90004",CA,90004.0,http://losangelestowing503984019.localsearch.com,,(3),no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Atlanta GA,Newman's Used Motors & Transmissions,(404) 373-0672,204 Grove Pl,"Decatur, GA 30030",GA,30030.0,http://newmansusedmotorstransmissions.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Memphis TN,Second Chance Car Cash Center,(870) 394-9085,722 S 2nd St,"West Memphis, AR 72301",AR,72301.0,http://secondchancecarcashcenter.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Stereo Systems,Cleveland OH,ProShow Sound,(216) 242-6969,1616 Saint Clair Ave NE,"Cleveland, OH 44114",OH,44114.0,http://www.proshowsound.com,,11 Years,no,,"user@domain.com, info@proshowsound.com","https://www.instagram.com/proshowsound/, https://www.facebook.com/ProShowCleveland/",,"ProShow Sound LLC provides audio production, sound equipment rentals and 
repair, retail, installation, and related services to northeast Ohio.",https://images.squarespace-cdn.com/content/v1/5936db13b3db2b8c5a351b79/a1e08795-8831-428f-8f4b-127199a42871/favicon.ico?format=100w,75,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Elvin Sarmiento Auto Care,(561) 218-4937,2069 NW 1st Pl,"Boca Raton, FL 33431",FL,33431.0,http://elvinsarmientoautocare.localsearch.com,,26 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Louisville KY,Anthony's Towing Recovery Ser,(502) 543-2232,,,,,http://anthonystowingrecoveryser.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Houston TX,Antoine Car Care,(281) 260-9828,8610 Antoine Dr,"Houston, TX 77088",TX,77088.0,http://aamcohouston-veteransmemorial.com,,,no,,,"https://facebook.com/AAMCOHoustonVeteransMemorial, https://twitter.com/aamco",,"From transmission repair to brakes and auto repair service, AAMCO of Houston (Veterans Memorial Dr.), TX has expert technicians. We'll diagnose and repair your car right the first time. Nationwide warranty.",http://aamcohouston-veteransmemorial.com/images/IconAAMCOnew.ico,65,success,USA,Auto Services
Oil Change,Indianapolis IN,Take 5 Oil Change,(463) 220-0965,5602 N Keystone Ave,"Indianapolis, IN 46220",IN,46220.0,https://www.take5.com/locations/oil-change/indiana/indianapolis/31431,,,no,,shop1431@take5oil.com,"https://twitter.com/take5_oilchange, https://www.facebook.com/Take5OilChange/, https://www.instagram.com/take5oilchange/",,Stay in your car for a 10 minute oil change at Take 5 Oil Change in Indianapolis at 5602 N Keystone Ave. Visit our location near you for fast friendly service!,https://www.take5.com/favicon.ico,85,success,USA,Auto Services
Auto Parts,Nashville TN,Garrison Service Co,(615) 254-7627,100 Fernco Dr,"Nashville, TN 37207",TN,37207.0,http://www.forkliftman.com,,,no,,,"https://www.facebook.com/ToyotaMHMidSouth, https://www.linkedin.com/company/toyota-material-handling-midsouth/, https://twitter.com/TMHMidSouth",,"We’ve been Middle Tennessee, Southern Kentucky, Chattanooga, Knoxville, North Georgia, and North Alabama's source for forklift sales, service, parts, rentals & warehouse…",http://www.forkliftman.com/apple-touch-icon.png,65,success,USA,Auto Services
Auto Body Parts,Memphis TN,Goldy's Bodyworks,(870) 735-4215,400 E Jefferson Ave,"West Memphis, AR 72301",AR,72301.0,http://goldysbodyworks.localsearch.com,,26 Years,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Dixie Auto Techs,(561) 931-3014,1552 NW 1st Ave,"Boca Raton, FL 33432",FL,33432.0,https://dixieautotechs.com,,12 Years,no,,"jonpinhorn.typedesign@gmail.com, filler@godaddy.com, amkryukov@gmail.com",,,,"https://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:57,h:57,m",70,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Kwik Kar Auto Repair,(972) 867-9111,2200 W Parker Rd,"Plano, TX 75075",TX,75075.0,https://kwikkarntx.com/?y_source=1_MjgwNTMzMTgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,,(3),no,,,,,"Kwik Kar, located throughout the Dallas Fort Worth area in Texas, is the trusted choice for honest and professional automotive repairs and service.",https://irp.cdn-website.com/2092fcda/site_favicon_16_1697033013768.ico,60,success,USA,Auto Services
Oil Change,Memphis TN,O'Reilly Auto Parts,(901) 873-1555,7781 Us Highway 51 N,"Millington, TN 38053",TN,38053.0,https://locations.oreillyauto.com/tn/millington/autoparts-1325.html,,,no,,,"https://www.facebook.com/294501113946760/reviews/?ref=page_internal, https://www.facebook.com/OreillyAutoParts, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1325 in Millington, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Repair,Orlando FL,Wreck Collision Center,(407) 420-7176,2708 N Orange Blossom Trl,"Orlando, FL 32804",FL,32804.0,,,,no,,,,,,,0,error,USA,Auto Services
Oil Change,Indianapolis IN,Mobile One Lube Express,(317) 876-1657,3427 W 86th St,"Indianapolis, IN 46268",IN,46268.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Resurgence Collision,(407) 751-2497,3911 El Rey Rd,"Orlando, FL 32808",FL,32808.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Obt Body Work,(407) 286-5980,2924 N Orange Blossom Trl,"Orlando, FL 32804",FL,32804.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Glass Repair,Jacksonville FL,Stone Glass & Connolly,(904) 886-1993,320 Harley Dr,"Jacksonville, FL 32218",FL,32218.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Tops In Detail,(407) 812-5888,4936 S Orange Ave,"Orlando, FL 32806",FL,32806.0,http://www.topsindetail.net,,,no,,,http://www.facebook.com/pages/Tops-In-Detail/159393864083718,,"Tops In Detal, 4936 South Orange Avenue Orlando, Florida 32806, Auto Detailing, Car Wash, Hand Wax, Window Tinting",,65,success,USA,Auto Services
Oil Change,Indianapolis IN,Take 5 Oil Change,(317) 983-5580,5255 W 38th St,"Indianapolis, IN 46254",IN,46254.0,https://www.take5.com/locations/oil-change/indiana/indianapolis/31430,,1 Year,no,,"Shop1430@take5oil.com, elliot@take5indiana.com, andy@take5indiana.com","https://twitter.com/take5_oilchange, https://www.facebook.com/Take5OilChange/, https://www.instagram.com/take5oilchange/",,Stay in your car for a 10 minute oil change at Take 5 Oil Change in Indianapolis at 5255 38th St. Visit our location near you for fast friendly service!,https://www.take5.com/favicon.ico,85,success,USA,Auto Services
Tire Shops,Indianapolis IN,Goodyear Auto Service Center,(317) 782-8302,5757 Kopetsky Dr,"Indianapolis, IN 46217",IN,46217.0,http://www.wingfootct.com,,,no,,,,,,,0,error,USA,Auto Services
Automotive Machine Shops,San Diego CA,Bug Patch,(619) 449-8670,9470 W Heaney Cir,"Santee, CA 92071",CA,92071.0,,,,no,,,,,,,0,timeout,USA,Auto Services
